FileName,VerseName,MissingLanguages
41_Mahonnathuni chaatuna vasinchu vaade.xml,v9,"tam,hin"
41_Mahonnathuni chaatuna vasinchu vaade.xml,v10,"tam,hin"
41_Mahonnathuni chaatuna vasinchu vaade.xml,o1,"eng,tel,tam,hin"
422_Kanikarinchi nannu rakshinchu.xml,o1,"eng,tel,tam,hin"
423_Yesu naa hrudayamunanduna.xml,o1,"eng,tel,tam,hin"
424_Rakshana nosagumu prabhuva.xml,v6,"eng,tel"
424_Rakshana nosagumu prabhuva.xml,v7,"eng,tel,hin"
424_Rakshana nosagumu prabhuva.xml,o1,"eng,tel,tam,hin"
425_Nenu ghorapaapini cheri.xml,v8,"eng,tel,hin"
425_Nenu ghorapaapini cheri.xml,o1,"eng,tel,tam,hin"
427_Jeevapu daata naa hrudayamuloniki.xml,v6,"eng,tel,hin"
427_Jeevapu daata naa hrudayamuloniki.xml,o1,"eng,tel,tam,hin"
428_Viduvavu nannika ennadainanu.xml,o1,"eng,tel,tam,hin"
429_Paapini nenu thappiti.xml,o1,"eng,tel,tam,hin"
42_Sarvannathuni chaatuna nivasinchedi.xml,v9,"eng,tel,hin"
42_Sarvannathuni chaatuna nivasinchedi.xml,v10,"eng,tel,hin"
42_Sarvannathuni chaatuna nivasinchedi.xml,o1,"eng,tel,tam,hin"
430_Nedu ne naa rakshakuni.xml,v5,tam
430_Nedu ne naa rakshakuni.xml,o1,"eng,tel,tam,hin"
431_Nakai chilchabaddayo.xml,v4,"eng,tel"
431_Nakai chilchabaddayo.xml,o1,"eng,tel,tam,hin"
432_O yesu rakshakaa.xml,v5,"eng,tel"
432_O yesu rakshakaa.xml,v6,"eng,tel,tam"
432_O yesu rakshakaa.xml,o1,"eng,tel,tam,hin"
433_Unnattu nenu vachedan.xml,o1,"eng,tel,tam,hin"
436_Dayagala Yesu paapi kaashrayudaa.xml,o1,"eng,tel,tam,hin"
437_Sangha mokkate saarvathrika.xml,o1,"eng,tel,tam,hin"
43_Yehovaanu stutinchuta manchidi.xml,v8,hin
43_Yehovaanu stutinchuta manchidi.xml,v9,"eng,tel,hin"
43_Yehovaanu stutinchuta manchidi.xml,v10,"eng,tel,hin"
43_Yehovaanu stutinchuta manchidi.xml,v11,"eng,tel,hin"
43_Yehovaanu stutinchuta manchidi.xml,o1,"eng,tel,tam,hin"
441_Siyonu puramaa - sarvonnathuni.xml,o1,"eng,tel,tam,hin"
442_Prabhu yesu sanghamu nirminchu.xml,v6,hin
442_Prabhu yesu sanghamu nirminchu.xml,v7,hin
442_Prabhu yesu sanghamu nirminchu.xml,o1,"eng,tel,tam,hin"
443_Bhaktula sanghame prabhuni.xml,o1,"eng,tel,tam,hin"
445_Shakhtigala shaalemu raajaa.xml,v6,tam
445_Shakhtigala shaalemu raajaa.xml,v7,tam
445_Shakhtigala shaalemu raajaa.xml,o1,"eng,tel,tam,hin"
448_Sarvashakhtuni vaakku idiye.xml,v7,hin
448_Sarvashakhtuni vaakku idiye.xml,o1,"eng,tel,tam,hin"
449_Siyonu vaasu laaraa.xml,v7,hin
449_Siyonu vaasu laaraa.xml,v8,hin
449_Siyonu vaasu laaraa.xml,v9,hin
449_Siyonu vaasu laaraa.xml,v10,"eng,tel,hin"
449_Siyonu vaasu laaraa.xml,o1,"eng,tel,tam,hin"
44_Randi yehovaanu goorchi.xml,o1,"eng,tel,tam,hin"
450_Gorrepilla vivaahotsava.xml,v8,"eng,tel,tam"
450_Gorrepilla vivaahotsava.xml,v9,"eng,tel,tam"
450_Gorrepilla vivaahotsava.xml,v10,"eng,tel,tam"
450_Gorrepilla vivaahotsava.xml,o1,"eng,tel,tam,hin"
453_Nirmimpabaditimi manamu.xml,o1,"eng,tel,tam,hin"
454_Stutinchumu stutinchumu.xml,o1,"eng,tel,tam,hin"
455_Ee sangapu bunaadi.xml,v5,"eng,tel"
455_Ee sangapu bunaadi.xml,o1,"eng,tel,tam,hin"
458_Maname prabhuni paraloka gruhamu.xml,o1,"eng,tel,tam,hin"
459_Sanghame kristu yesuni shareeramu.xml,o1,"eng,tel,tam,hin"
45_Yehovaa meeda kroththa keertana.xml,v8,"eng,tel,tam"
45_Yehovaa meeda kroththa keertana.xml,o1,"eng,tel,tam,hin"
461_Parishuddha pattanamu kroththa.xml,o1,"eng,tel,tam,hin"
463_Prabhuni gruhamu aayana.xml,o1,"eng,tel,tam,hin"
464_Parishudda mandiramu naaku.xml,v5,tam
464_Parishudda mandiramu naaku.xml,v6,tam
464_Parishudda mandiramu naaku.xml,o1,"eng,tel,tam,hin"
46_Samastha deshamulaaraa andaru paadudi.xml,v5,hin
46_Samastha deshamulaaraa andaru paadudi.xml,v6,hin
46_Samastha deshamulaaraa andaru paadudi.xml,o1,"eng,tel,tam,hin"
472_Kristuni swaramu vindunu prabhuve.xml,v8,tam
472_Kristuni swaramu vindunu prabhuve.xml,v9,tam
472_Kristuni swaramu vindunu prabhuve.xml,v10,tam
472_Kristuni swaramu vindunu prabhuve.xml,o1,"eng,tel,tam,hin"
476_Nityudesune stutinchu.xml,o1,"eng,tel,tam,hin"
477_Dappi gonina vaanipai neetin.xml,o1,"eng,tel,tam,hin"
478_Sarassu prakkana rottelanu.xml,v4,"eng,tel"
478_Sarassu prakkana rottelanu.xml,o1,"eng,tel,tam,hin"
47_Samastha janulaaraa meeru.xml,v5,tam
47_Samastha janulaaraa meeru.xml,o1,"eng,tel,tam,hin"
480_Ne bodimpa janaalikin - nerpimpu.xml,v6,hin
480_Ne bodimpa janaalikin - nerpimpu.xml,v7,"eng,tel,hin"
480_Ne bodimpa janaalikin - nerpimpu.xml,o1,"eng,tel,tam,hin"
